[华语私人订制] 最懂你的华语推荐 每日更新35首,华语,介绍：全都是耐听的华语好歌这里是你的专属华语日推收藏订阅，歌荒，不存在的事,390万,525670560,35,44698
每天都在崩溃与自愈中期待变得更好啊,华语-流行-治愈,介绍：一边崩溃一边自愈 每个年龄段都有每个年龄段的压力 要学会调节自己的情绪 希望我们都能顶住生活的压力好好的生活 别人都可以抗过去的坏情绪 为什么我不能 我不要再被坏情绪打败 2021年最大的愿望就是生活顺利 希望所有的努力都有结果 都能被看见。,412,142126,40,6
你搜不到的土嗨神曲,华语-欧美-电子,介绍：【不喜勿喷，自用歌单+村民推荐】这歌单容易嗨上头，如果你开车/走路请注意安全！现在很多年轻人为了耍酷，过马路也要戴着耳机，殊不知这样做非常危险，万一被车撞到，耳机不就坏了吗？？能搜到这歌单，全靠缘分，不定期在线更新。如果你有喜欢的歌也可以私信推荐，安排上！V：J_Kerry注明来意,166万,95869784,226,3956
中国摇滚30年图鉴：永远年轻 永远热泪盈眶,摇滚-华语-怀旧,介绍：说到摇滚你会想到什么呢不抬杠 你说的对不过要说中国摇滚，肯定是躲不过中国摇滚教父崔健！1986年文艺大院里的崔大爷，在北京工体一嗓子吼出了《一无所有》，从此大陆摇滚不再一无所有。而在1988年来北京开演唱会的Beyond翻唱了《一无所有》，成为了香港摇滚对大陆摇滚的一个正式回应。而在大陆彼端的台湾同样有一位摇滚教父，那就是伍佰，据说刚出道被误认为是卡车司机！虽说许多摇滚人长发飘飘，但还有一位摇滚玩的好的短发男孩窦唯，1988年加入黑豹乐队，后来因为音乐理念不同退出了，后来他有一个更响亮的名头，那就是“魔岩三杰”。1994年他们在香港红勘体育馆举行中国摇滚乐势力演唱会。参加了当年盛举的还有一个乐队，那就是中国内地第一代重金属乐队唐朝。可惜1995年成员张炬不幸去世，唐朝乐队从此一蹶不振！也暗示了中国摇滚从辉煌走向衰败不过此时校园民谣流行了起来，很多学生再传唱《同桌的你》，这首歌的演唱者叫老狼，和他签约在同一家公司的朴树因为爱哭当时也被广泛关注。说起朴树就会想到摇滚诗人许巍，有人说朴树是彩色的许巍，许巍是灰色的朴树，真的是这样吗？说了这么多摇滚男歌手，难道女人就不能唱摇滚吗？显然不是。说起女摇滚想到的就是中国摇滚第一女声罗琦，在当时迅速成名又因为脾气迅速跌落，不过我们永远不会忘记那句：中国摇滚还没有到需要怀旧的时候！2000年左右中国摇滚确实处在地下时期，而痛仰乐队就是在这个时候诞生的。2007年当他们还在巡演的时候汪峰正在唱北京~北京。众所周知汪峰有三大成就，其中一件就是带火了皮裤！说到裤子又会想到新裤子乐队，虽然他们不穿皮裤！跟裤子较劲的还有五月天主唱阿信，因为他的经典动作就是提裤子。当时五月天来内地开演唱会门票40块钱都没有人买，所以只能请当时巨火的Joyside乐队来暖场，不过2009年解散了同样是2009解散的，还有中国第一支未成年组成的朋克乐队花儿乐队，也是当时发色最多的乐队！但另一支叫刺猬的乐队发型相对比较保守，不过他们比较费钱，因为主唱爱摔吉他！很多人都说中国摇滚已经亡了，不复辉煌！但是新生代一众摇滚乐队却在不断诞生以前的摇滚是情绪的宣泄是脆弱的掩饰现在的摇滚是对世界保持痛感仍破地生长是成熟又任性真实不伪事勇敢不退缩我们相信中国摇滚史是部需要几代甚至是几十代人去完成的巨著它永远不会老去,14万,11149577,173,501
【纯音乐】温柔治愈系纯音乐,流行-华语-治愈,介绍：所念皆星河，所爱隔山海。星河不可及，山海不可平。,16万,7948504,112,449
说唱新世代||W8VES（未完待续）,华语-说唱-快乐,介绍：选手＋导师曲目合集听歌指南:1—3不定期更换的彩蛋4—53选手比赛曲目+导师表演曲目54—79导师曲目80—225选手非比赛曲目排名不分先后前三首歌曲会当做彩蛋，不定期更换，希望好听的歌能被更多的人听见。比赛曲目分期整合，最新期靠前，没有收录即无©️。推荐随机播放/单曲循环。希望各位收听愉快！！！祝大家毕业快乐！！真正的夏天结束啦！！最后，感谢各位收藏这个歌单诶！！也希望我们都能hustle every day！！祝大家好在每天！！！雄起੭ ᐕ)੭*⁾⁾There is always a happy ending， if it is not happy， it is not the ending.,9639,467370,227,82
是你的垚/刘大壮/王小帅/王泽科,华语-伤感-翻唱,介绍：喜欢歌单的可以点个关注哟歌单制作：小攀哟歌单创建：2020.4.1歌单修改：2020.9.15歌单更新：每天更新中…是你的垚/刘大壮/王泽科每人收集了前几首按顺序排列，不要讨论，只是个人单！勿喷，个人认为好听！不喜欢可绕道，首发新歌都会加入欢迎收藏，谢谢大家！持续更新中....“世上有一种人，他好像很爱你，但又不珍惜你，却又不想失去你，说着爱你的话，却做着让你伤心的事，你说奇不奇怪”,11万,7226909,115,267
精选｜Cover的那些循环歌曲,流行-翻唱-华语,介绍：这世上最难堪的事不是他不爱你而是他说很爱很爱你最后却轻易的放弃了你 ​​​,73万,65654652,95,1562
迷 人 嗓 音,流行-华语-欧美,介绍：随性一点 做自己便好 歌曲没必要太多 能够让你的心里宁静就好 随机穿插说唱和纯音乐 建议耳机食用本歌单欢迎收听主页其他歌单,70613,6880735,169,164
刘大壮/是你的垚/王泽科/王巨星/王小帅,华语-流行-伤感,介绍：评论区可留文案封面源于网络 侵权删暂不支持投稿,36295,2475716,115,236
偶尔动情记得醒,华语-流行-翻唱,介绍：如果我早知道我们之间只有那么短的时间 我一定要每天多说几遍我爱你才行 我一定要告诉你你对我来说有多重要。,12857,1223049,325,182
你才多大，就开始不相信爱情了,华语-流行-翻唱,介绍：你肆意表达温柔，后闻风而走。不过问其下文，潇洒离去，留下我几年独守，无人问候。评论曲留一句自己喜欢的文案吧,14891,1327654,238,324
国产HIPHOP 这一个歌单就够了,华语-说唱-榜单,介绍：想听懂国产HIPHOP， 这一个歌单就够了。（ 每 日 更 新）说唱没有高低贵贱，但是品味有。,18万,9181305,310,1052
走开，我占有欲太强了,华语-流行-翻唱,介绍：无论怎么样，一个人借故堕落总是不值得原谅的，越是没有人爱，越要爱自己。,16944,1350840,184,114
我在银河便利店，想给你的星球寄一封信,夜晚-治愈-华语,介绍：“要是银河也有声音，会是怎么样的旋律”……我想带你乘着宇宙忽快忽慢你会陪我看遍世界忽明忽暗我想同你去揽一轮明月你会与我共观银河灿烂“我们是融化在这片银河的行星，也是最接近的两颗星”后来你去了别的星球我在银河中漂泊等待你的归来这是一家便利店我寄出了一封给你的信“寄给你全宇宙的爱和自太古至今永劫的思念”接着我向黑暗深处漂去发现一束行星的璀璨周围夹杂着温柔与恬静它是真的很孤单啊或许和我一样在这里期待着空的绚烂等待着哪颗星的相遇“或许行星们也幻想着 共同轨迹 彼此相邻”靠着这颗行星顺着光 是远处的繁星我打开了相机 按下了快门可是画面里的它们却成了模糊的芒一定是它眼里的宇宙不一样吧“她的浪漫似天上繁星，闪光灯亮起，定格而美丽”这片星际真的很静像诗里的长眠梦里的暖晴也好似你的初愿还记得刚遇到你的时候你说 你想追寻的就是这种世界“你的心也有一望无际的时候，那是我第一次遇见你”又过了几个世纪你却依旧杳无音信时间能告诉我的答案画出了这片银河的魅力我开始真正好奇这片宇宙到底是什么会让你如此沉迷“后来我意识到，那时我好奇过的宇宙，或许就是你”孤独它沉默也温柔黑暗里唯一能依靠的只有身旁的光芒了我把这颗行星当做了你就让它承载着我的梦在这片星际 从升起到陨落吧“没关系的，你就在我的宇宙绽放灿烂的光芒吧”欢迎来到本章银河记漫漫中文歌曲里想赠以你两支轻音乐两首成为序曲两句留在尾声......摄影：尼脑子瓦特啦简介：盼你温柔（部分句子源于网络）,10870,616252,39,91
100种民谣女声 带你去感受星辰万物,民谣-华语-清新,介绍：有人曾这么打比方：“张悬是大海，雷光夏是星空，陈绮贞是太阳，曹方是风，陈粒是光和火。不同的声音是可以代表不同的事物的，也可以唱出不同的情感，就像程璧唱的是诗意的栖居，《梅雨》是程璧最好的作品。这首歌的歌词恰到好处地化用了古诗词，如“今夜偏知春气暖，虫声新透绿窗纱。”这种化用毫不刻意，不是劣质古风歌的堆砌，将古典文学之美巧妙融入民谣歌曲中，极具韵味。陈粒唱的是孤高的性情。陈粒的歌唱，自带傲视群雄、孤芳自赏的霸气，似乎都不屑于与别人一较高低。她的歌是唱给自己听的，歌者沉浸在自己的世界中，散发着超然卓绝的一流气度。花粥唱的是无奈的落寞。名声在外的“女流氓”花粥，可以说是民谣界的一股泥石流了。不过她写的歌词虽然直白露骨，却并不低俗下作。她的俏皮初听觉得可爱，再听便觉心疼。我相信流氓的面具之下，有着纯真且深情的灵魂。谢春花唱的是平和的解脱。谢春花的歌，往往透露着淡淡的失望与无奈，从为它醉不归，到任它作雪飞。然而她丝毫没有戾气，怨而不怒，只是轻轻一叹，颇有道家隐逸之风，避世而不厌世。还有就是房东的猫歌如其名，调子很轻，听起来总有一种淡淡的愁绪忧伤在里面。喜欢她们的粉丝说，她们的声音就像是素描，用的是彩色铅笔，画出了房子、行人和四季。这样的例子还有多，夏同学就不一一列举出来啦。但是这次整理出来了这份歌单里面包含了一百种民谣女声就是为了让大家去更多的感受这种民谣独有的情感和感受声音里的世界万物,12万,9714690,100,275
台剧 | 想见你 电视原声带,影视原声-华语-流行,介绍：27岁的雨萱灵魂，住进了17岁高中女孩韵如的身体里，还跟长得与王诠胜一模一样的「屁孩」子维成了莫逆之交。 雨萱也惊觉她似乎重复与韵如同样的生命历程，即将在不久后意外身亡！除非她能及时找出真凶，否则她不但回不去未来，更严重的是，将让子维与俊杰两人因此落入悲伤的轮回。（简介来源：LINE TV，本歌单收录部分BGM）,56434,4253233,32,431
『说唱新世代』全收录,流行-华语-说唱,介绍：《说唱新世代》是哔哩哔哩出品的说唱音乐类节目，节目将汇聚来自全国各地的rapper，齐聚“说唱基地”。他们将通过层层公演考核，以音乐创作和竞演表现，决出代表新世代发声的“世代表达者”。节目由黄子韬担任说唱基地主理人，由MC HotDog热狗、Higher Brothers马思唯&KnowKnow、Rich Brian加盟担任说唱基地导师、李宇春担任哔哩哔哩特邀见证官。,24613,1332240,174,131
写作业时听的歌/刷题歌单.,华语-学习,介绍：听听我说的吧.歌单顺序是纯音乐/舒缓/励志.希望可以给大家带来动力 成为更好的自己.其实那些看似不起波澜的日复一日 真的会在某天让你看见坚持的意义.祝你们 生活明朗 万物可爱 人间值得 未来可期.不要放弃 因为满怀希望就会所向披靡 无论何时 都要跟着光.就让我们在人生的更高处相见吧 虽然现在不能与你并肩 但是未来会有一天 我会走到你前面.投稿私信 推广私信 开学不常在 偶尔来听歌.封面 cr微博 @IKOKO.,80619,3898183,144,698
【民谣】安静的听歌♥安静的想你,华语-民谣-感动,介绍：睡不着不是因为失眠，而是因为我满脑子想的都是你。,37298,3419933,47,186
篮球巨星科比，再见,华语-欧美-思念,介绍：2020年1月26日，（北京时间2020年1月27日凌晨4点）科比因飞机失事不幸去世，年仅41岁。篮球巨星的陨落，我们青春的落幕。谢谢你，黑曼巴科比·布莱恩特！最后，武汉加油！,60058,3355408,60,4095
世界最强Flow最炸说唱集合体,华语-说唱-兴奋,介绍：收录不完全 别来秀智商 喜欢就收藏超棒的押韵技巧和flow 有推荐的评论 我会看谢谢！flow和押韵是重要 但是更重要的是腔调别给我说谁谁谁没flow也配进歌单 又没谁谁谁了 别幼稚了哈 有推荐的评论歌曲我会看 谢谢！,15万,9225130,317,778
说唱新世代 『同步更新』,说唱-综艺-华语,介绍：《说唱新世代》是哔哩哔哩出品的说唱音乐类节目，节目将汇聚来自全国各地的 rapper，齐聚“说唱基地”。他们将通过层层公演考核，以音乐创作和竞演表现，决出代表新世代发声的“世代表达者”。节目由黄子韬担任说唱基地主理人，由 MC HotDog热狗、 Higher Brothers马思唯& KnowKnow、 Rich Brian加盟担任说唱基地导师、李宇春担任哔哩哔哩特邀见证官。,19588,1147059,143,20
"你和别人炫耀过他吗",伤感-华语-翻唱,介绍：炫耀他给你别人不曾给过的痛苦，那撕心裂肺、痛心疾首、断肠之思，至今尚在吗,14756,1416952,65,189
小破站『说唱新世代』第一季歌单完结,华语-综艺-说唱,介绍：B站SS级说唱节目。因为版权保护，只更新网易有版权的音乐。,17890,947556,49,77
时光与念想：你是他人无法比拟的糖,华语-民谣-清新,介绍：太阳不是突然下山的 所以我爱你也不是突然决定的“这个世界乱糟糟的，而你干干净净，可以悬在我的心上，作太阳和月亮。”,37552,3589004,57,50
国风说唱 | 侠客少年江湖行,华语-说唱-古风,介绍：中西方的文化融合的美妙。在某种程度上，这代表了中国风格的文化产品不再只是嫁接于西方文化枝头上并让中国普罗大众接受的装饰品，而是逐渐成为了能够逆向输出的强大的文化载体。,15772,1001354,65,102
高考加油：星光不问赶路人 岁月不负有心人,华语-流行-学习,介绍：只有你自己才能决定你将来会成为怎样的人。记得自己永远握有选择权。对，永远记得，你是自由的。 ​​​所有洒下的汗水 所有流过的泪 所有在夜里辗转难眠的焦虑 都会在今年的夏天得到结果。——美好的事一定会在夏天发生。在这之前请沉稳心态 奋力向前 送给即将高考的同学们，祝前程似锦，金榜题名。,23165,1860843,40,509
隔壁老樊与解忧邵帅,华语-民谣-伤感,介绍：愿你前程似锦再无波澜。。。。。。,11万,7961608,25,204
说唱伴奏丨FREE BEAT免费伴奏FREEBEAT,华语-说唱-兴奋,介绍：麻烦多多评论、收藏、评论，谢谢好兄弟！这是一份国内优质制作人制作的免费beat的合集为国内rapper新人提供最好的免费伴奏！同时也提醒各路rapper们注意版权意识，免费伴奏不可商用，使用免费伴奏时需在伴奏下面评论，并关注制作人。可投稿，直接私信发，我喜欢的才会收录，没回复的默认不收，只收免费伴奏，感谢理解！,5173,436235,281,12
享受說唱flow狂轟亂炸,华语-说唱-00后,介绍：全是狠貨 說唱經典合集爱听听，不听爬，别bb。,63739,3944856,495,283
♥︎Rap BEAT♥︎——【说唱伴奏】CHILL,说唱-流行-华语,介绍：喜歡歌單的話，麻烦請关注我/持續更新可能我只是你生命里的一个过客，但你不会遇见第二个我。#歡迎投稿#在评论区留下你最想说的话吧每周日为免费收录时段 望悉知,13074,2665952,529,51
高质量中文rap☞甜甜的说唱情歌(持续更新）,华语-说唱,介绍：收藏起来♥超甜高质量rap 持续更新哦,34576,2214561,327,57
